window start,window end,vault_id,min,25perc,50perc,75perc,max,count
2023-03-30 00:00:00,2023-04-02 00:00:00,1120,94.00,35993.00,35997.00,36002.00,42532.00,373
2023-03-30 00:00:00,2023-04-02 00:00:00,1118,741.00,37502.00,37506.16,37511.00,37525.00,381
2023-03-30 00:00:00,2023-04-02 00:00:00,1117,125.00,18063.16,20442.44,22293.48,37633.00,414
2023-03-30 00:00:00,2023-04-02 00:00:00,1116,380.00,15713.07,17811.96,20780.38,85188.00,393
2023-03-30 00:00:00,2023-04-02 00:00:00,1115,1879.00,14785.26,16962.86,21350.76,38024.00,380
2023-03-30 00:00:00,2023-04-02 00:00:00,1114,1660.00,17546.40,18903.25,21593.47,38852.00,389
2023-03-30 00:00:00,2023-04-02 00:00:00,1113,126.00,38441.00,38448.08,38458.58,67990.00,404
2023-03-30 00:00:00,2023-04-02 00:00:00,1112,14367.00,16942.49,18524.48,21597.88,51007.00,368
2023-03-30 00:00:00,2023-04-02 00:00:00,1111,747.00,39381.78,39398.20,39406.38,39416.00,374
2023-03-30 00:00:00,2023-04-02 00:00:00,1119,1981.00,17495.92,18647.80,22187.89,36794.00,367
2023-03-30 00:00:00,2023-04-02 00:00:00,1091,139.00,49141.10,49146.56,49151.00,53076.00,392
2023-03-30 00:00:00,2023-04-02 00:00:00,1090,111.00,49426.60,49447.17,49455.00,75989.00,402
2023-03-30 00:00:00,2023-04-02 00:00:00,1110,1698.00,17136.80,18416.00,22250.28,40385.00,390
2023-03-30 00:00:00,2023-04-02 00:00:00,1099,428.00,14955.07,17926.12,22364.99,76005.00,377
2023-03-30 00:00:00,2023-04-02 00:00:00,1098,5451.00,17696.76,21185.44,23012.28,30953.00,398
2023-03-30 00:00:00,2023-04-02 00:00:00,1097,206.00,18196.00,21130.72,22780.15,75575.00,399
2023-03-30 00:00:00,2023-04-02 00:00:00,1096,47.00,47051.00,47056.00,47062.88,69690.00,358
2023-03-30 00:00:00,2023-04-02 00:00:00,1095,381.00,16600.37,18658.60,22356.25,45174.00,381
2023-03-30 00:00:00,2023-04-02 00:00:00,1094,519.00,16452.11,17732.90,20927.13,44613.00,368
2023-03-30 00:00:00,2023-04-02 00:00:00,1093,219.00,48496.02,48501.00,48506.00,48514.00,387
2023-03-30 00:00:00,2023-04-02 00:00:00,1092,0.00,48858.00,48863.00,48867.72,49062.00,372
2023-03-30 00:00:00,2023-04-02 00:00:00,1107,912.00,16144.84,17855.22,22431.75,42887.00,366
2023-03-30 00:00:00,2023-04-02 00:00:00,1106,95.00,16514.13,18363.13,21157.56,73780.00,393
2023-03-30 00:00:00,2023-04-02 00:00:00,1105,95.00,17397.61,19081.12,22255.53,43248.00,373
2023-03-30 00:00:00,2023-04-02 00:00:00,1104,95.00,15352.20,17537.86,21693.44,45041.00,372
2023-03-30 00:00:00,2023-04-02 00:00:00,1103,188.00,14359.00,17854.50,21070.80,70511.00,386
2023-03-30 00:00:00,2023-04-02 00:00:00,1102,3131.00,17768.56,20080.53,23472.68,65917.00,393
2023-03-30 00:00:00,2023-04-02 00:00:00,1101,1891.00,15627.31,18692.40,22418.38,45747.00,358
2023-03-30 00:00:00,2023-04-02 00:00:00,1100,2823.00,18665.80,20433.25,23729.60,61763.00,386
2023-03-30 00:00:00,2023-04-02 00:00:00,1109,3405.00,17425.49,19509.96,21723.61,68204.00,401
2023-03-30 00:00:00,2023-04-02 00:00:00,1108,665.00,16967.97,19239.64,22463.45,41573.00,371
2023-04-02 00:00:00,2023-04-05 00:00:00,1120,109.00,36020.96,36042.91,36061.11,42579.00,2190
2023-04-02 00:00:00,2023-04-05 00:00:00,1118,31.00,37532.83,37553.22,37573.94,37590.00,2172
2023-04-02 00:00:00,2023-04-05 00:00:00,1117,125.00,18097.23,20867.89,22492.93,37713.00,2232
2023-04-02 00:00:00,2023-04-05 00:00:00,1116,412.00,15524.47,17575.58,20464.45,85236.00,2179
2023-04-02 00:00:00,2023-04-05 00:00:00,1115,618.00,15000.26,16991.42,21360.30,38139.00,2235
2023-04-02 00:00:00,2023-04-05 00:00:00,1114,1675.00,17477.20,18659.53,21621.23,38867.00,2143
2023-04-02 00:00:00,2023-04-05 00:00:00,1113,0.00,38475.90,38493.28,38515.88,68458.00,2216
2023-04-02 00:00:00,2023-04-05 00:00:00,1112,174.00,17215.53,18633.52,22628.46,51071.00,2206
2023-04-02 00:00:00,2023-04-05 00:00:00,1111,158.00,39423.63,39438.93,39459.32,39490.00,2217
2023-04-02 00:00:00,2023-04-05 00:00:00,1119,285.00,17428.32,18930.04,22459.52,36947.00,2217
2023-04-02 00:00:00,2023-04-05 00:00:00,1091,0.00,49170.91,49193.58,49208.73,77606.00,2203
2023-04-02 00:00:00,2023-04-05 00:00:00,1090,16.00,49464.94,49487.72,49512.42,76641.00,2214
2023-04-02 00:00:00,2023-04-05 00:00:00,1110,79.00,17226.61,18572.26,22619.92,69807.00,2219
2023-04-02 00:00:00,2023-04-05 00:00:00,1099,491.00,15408.80,18078.87,22778.82,76084.00,2226
2023-04-02 00:00:00,2023-04-05 00:00:00,1098,1958.00,17856.25,21215.65,23049.61,70387.00,2185
2023-04-02 00:00:00,2023-04-05 00:00:00,1097,110.00,18259.97,21135.68,23054.40,77883.00,2194
2023-04-02 00:00:00,2023-04-05 00:00:00,1096,78.00,47085.11,47108.48,47130.77,69853.00,2216
2023-04-02 00:00:00,2023-04-05 00:00:00,1095,397.00,16631.36,18640.59,22389.34,45521.00,2189
2023-04-02 00:00:00,2023-04-05 00:00:00,1094,550.00,16705.99,18004.83,21560.00,44688.00,2162
2023-04-02 00:00:00,2023-04-05 00:00:00,1093,31.00,48525.95,48546.16,48569.02,67739.00,2227
2023-04-02 00:00:00,2023-04-05 00:00:00,1092,16.00,48886.41,48907.99,48928.98,60081.00,2165
2023-04-02 00:00:00,2023-04-05 00:00:00,1107,206.00,16535.86,17896.74,22329.60,42966.00,2223
2023-04-02 00:00:00,2023-04-05 00:00:00,1106,3160.00,16548.33,18396.79,21204.83,76782.00,2201
2023-04-02 00:00:00,2023-04-05 00:00:00,1105,111.00,17449.82,19337.76,22227.34,43327.00,2162
2023-04-02 00:00:00,2023-04-05 00:00:00,1104,127.00,14860.23,17381.14,21637.59,45112.00,2133
2023-04-02 00:00:00,2023-04-05 00:00:00,1103,204.00,14881.16,18075.68,21231.28,70574.00,2217
2023-04-02 00:00:00,2023-04-05 00:00:00,1102,142.00,17860.78,21679.20,23629.02,71165.00,2141
2023-04-02 00:00:00,2023-04-05 00:00:00,1101,388.00,15697.09,19223.01,22943.62,45822.00,2204
2023-04-02 00:00:00,2023-04-05 00:00:00,1100,775.00,18707.18,20507.01,23754.10,72014.00,2178
2023-04-02 00:00:00,2023-04-05 00:00:00,1109,111.00,17486.54,19663.14,21996.66,84564.00,2199
2023-04-02 00:00:00,2023-04-05 00:00:00,1108,96.00,17028.26,20063.98,22929.74,41646.00,2181
2023-04-05 00:00:00,2023-04-08 00:00:00,1120,187.00,36094.87,36115.09,36135.10,42658.00,2193
2023-04-05 00:00:00,2023-04-08 00:00:00,1118,16.00,37604.18,37625.09,37644.89,37667.00,2198
2023-04-05 00:00:00,2023-04-08 00:00:00,1117,0.00,18114.93,20647.28,22520.37,37776.00,2156
2023-04-05 00:00:00,2023-04-08 00:00:00,1116,507.00,15700.57,17901.05,20882.71,85331.00,2131
2023-04-05 00:00:00,2023-04-08 00:00:00,1115,697.00,15070.17,16985.56,21331.35,38202.00,2183
2023-04-05 00:00:00,2023-04-08 00:00:00,1114,802.00,17467.85,18724.92,21494.23,81657.00,2173
2023-04-05 00:00:00,2023-04-08 00:00:00,1113,0.00,38548.62,38567.92,38589.12,68505.00,2208
2023-04-05 00:00:00,2023-04-08 00:00:00,1112,237.00,17140.09,18684.29,22333.99,39258.00,2175
2023-04-05 00:00:00,2023-04-08 00:00:00,1111,190.00,39495.04,39511.65,39529.16,39561.00,2213
2023-04-05 00:00:00,2023-04-08 00:00:00,1119,348.00,17507.21,18772.50,22381.96,36939.00,2184
2023-04-05 00:00:00,2023-04-08 00:00:00,1091,0.00,49243.68,49264.76,49285.51,77685.00,2159
2023-04-05 00:00:00,2023-04-08 00:00:00,1090,79.00,49534.21,49560.31,49582.78,76719.00,2217
2023-04-05 00:00:00,2023-04-08 00:00:00,1110,142.00,17261.22,18570.73,22466.75,69870.00,2150
2023-04-05 00:00:00,2023-04-08 00:00:00,1099,539.00,15348.78,18143.49,22834.97,76147.00,2188
