Window: 2023-04-01 00:00:00 to 2023-04-02 00:00:00, Duration: 221 ms, Throughput:103239.81900452489 message/sec, 1.3507158371040724E7 bytes/sec
Window: 2023-04-02 00:00:00 to 2023-04-03 00:00:00, Duration: 58 ms, Throughput:391224.13793103443 message/sec, 5.118063793103448E7 bytes/sec
Window: 2023-04-03 00:00:00 to 2023-04-04 00:00:00, Duration: 72 ms, Throughput:315708.3333333334 message/sec, 4.130618055555556E7 bytes/sec
Window: 2023-04-04 00:00:00 to 2023-04-05 00:00:00, Duration: 48 ms, Throughput:471333.3333333333 message/sec, 6.1685375E7 bytes/sec
Window: 2023-04-05 00:00:00 to 2023-04-06 00:00:00, Duration: 24 ms, Throughput:940000.0 message/sec, 1.2294470833333333E8 bytes/sec
Window: 2023-04-06 00:00:00 to 2023-04-07 00:00:00, Duration: 42 ms, Throughput:541666.6666666666 message/sec, 7.088219047619048E7 bytes/sec
Window: 2023-04-07 00:00:00 to 2023-04-08 00:00:00, Duration: 22 ms, Throughput:1024636.3636363636 message/sec, 1.341064090909091E8 bytes/sec
Window: 2023-04-08 00:00:00 to 2023-04-09 00:00:00, Duration: 34 ms, Throughput:669911.7647058823 message/sec, 8.766011764705881E7 bytes/sec
Window: 2023-04-09 00:00:00 to 2023-04-10 00:00:00, Duration: 30 ms, Throughput:756233.3333333334 message/sec, 9.894863333333334E7 bytes/sec
Window: 2023-04-10 00:00:00 to 2023-04-11 00:00:00, Duration: 36 ms, Throughput:630333.3333333334 message/sec, 8.24718888888889E7 bytes/sec
Window: 2023-04-11 00:00:00 to 2023-04-12 00:00:00, Duration: 55 ms, Throughput:414236.36363636365 message/sec, 5.419161818181818E7 bytes/sec
Window: 2023-04-12 00:00:00 to 2023-04-13 00:00:00, Duration: 36 ms, Throughput:630250.0 message/sec, 8.244166666666667E7 bytes/sec
Window: 2023-04-14 00:00:00 to 2023-04-15 00:00:00, Duration: 24 ms, Throughput:946250.0 message/sec, 1.2380404166666666E8 bytes/sec
Window: 2023-04-15 00:00:00 to 2023-04-16 00:00:00, Duration: 25 ms, Throughput:902720.0 message/sec, 1.1811912E8 bytes/sec
Window: 2023-04-17 00:00:00 to 2023-04-18 00:00:00, Duration: 36 ms, Throughput:629500.0 message/sec, 8.236111111111112E7 bytes/sec
Window: 2023-04-18 00:00:00 to 2023-04-19 00:00:00, Duration: 22 ms, Throughput:1029136.3636363636 message/sec, 1.3463645454545456E8 bytes/sec
Window: 2023-04-19 00:00:00 to 2023-04-20 00:00:00, Duration: 18 ms, Throughput:1261111.1111111112 message/sec, 1.649968888888889E8 bytes/sec
Window: 2023-04-20 00:00:00 to 2023-04-21 00:00:00, Duration: 81 ms, Throughput:279777.77777777775 message/sec, 3.6608543209876545E7 bytes/sec
Window: 2023-04-21 00:00:00 to 2023-04-22 00:00:00, Duration: 24 ms, Throughput:937875.0 message/sec, 1.2268016666666666E8 bytes/sec
Window: 2023-04-22 00:00:00 to 2023-04-23 00:00:00, Duration: 22 ms, Throughput:1027409.0909090909 message/sec, 1.344351818181818E8 bytes/sec
