Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-01 00:00:00,2023-04-24 00:00:00,1113,15,HGST HUH721212ALN604-8HK2WZKH;HGST HUH721212ALN604-8HK22LZH;HGST HUH721212ALN604-8HK68T1H;HGST HUH721212ALN604-8HK1KYAH;HGST HUH721212ALN604-8HK28HBH;HGST HUH721212ALN604-8HK762XH;HGST HUH721212ALN604-8HK20G0H;HGST HUH721212ALN604-8HJY7GDH;HGST HUH721212ALN604-8HK68T0H;HGST HUH721212ALN604-8HK3HDNH;HGST HUH721212ALN604-8HJZE7BH;HGST HUH721212ALN604-8HK7Y1TH;HGST HUH721212ALN604-8HJXYLKH;HGST HUH721212ALN604-8HJY395H;HGST HUH721212ALN604-8HKHPJGH
2023-04-01 00:00:00,2023-04-24 00:00:00,1120,10,HGST HUH721212ALN604-AAG63XJH;HGST HUH721212ALN604-AAG8RN9H;HGST HUH721212ALN604-AAG765VH;HGST HUH721212ALN604-8HKNS1VH;HGST HUH721212ALN604-8HK2AUVH;HGST HUH721212ALN604-AAG61UGH;HGST HUH721212ALN604-AAG7MV8H;HGST HUH721212ALN604-AAG63X6H;HGST HUH721212ALN604-8HKTJULH;HGST HUH721212ALN604-AAG6HZ5H
2023-04-01 00:00:00,2023-04-24 00:00:00,1093,9,ST10000NM0086-ZA21HD3Y;ST10000NM0086-ZA21E1Z8;ST10000NM0086-ZA20ZBAR;ST10000NM0086-ZA21ADY8;ST10000NM0086-ZA214RHN;ST10000NM0086-ZA21E7P8;ST10000NM0086-ZA21A5HF;ST10000NM0086-ZA21CGKT;ST10000NM0086-ZA21AE4R
2023-04-01 00:00:00,2023-04-24 00:00:00,1118,8,HGST HUH721212ALN604-AAG68EWH;HGST HUH721212ALN604-AAG1E40H;HGST HUH721212ALN604-AAG6MH8H;HGST HUH721212ALN604-AAG6LEMH;HGST HUH721212ALN604-AAG6TK8H;HGST HUH721212ALN604-8HKHPDLH;HGST HUH721212ALN604-AAG26V1H;HGST HUH721212ALN604-8HKY66AH
2023-04-01 00:00:00,2023-04-24 00:00:00,1053,8,ST8000NM0055-ZA174QL4;ST8000NM0055-ZA18GQ69;ST8000NM0055-ZA171BW4;ST8000NM0055-ZA173SWF;TOSHIBA MQ01ABF050M-177QT3EKT;ST8000NM0055-ZA175225;ST8000NM0055-ZA170V1G;ST8000NM0055-ZA171QYW
2023-04-01 00:00:00,2023-04-24 00:00:00,1090,7,ST8000NM0055-ZA1819D6;ST8000NM0055-ZA181AAT;TOSHIBA MQ01ABF050-66HLS2P3S;ST8000NM0055-ZA180AYP;ST8000NM0055-ZA1817P7;ST8000NM0055-ZA16LXLR;WDC WD5000LPVX-WD-WXC1E648JXS3
2023-04-01 00:00:00,2023-04-24 00:00:00,1032,7,ST8000DM002-ZA136191;ST8000DM002-ZA12QCLA;ST8000DM002-ZA12YMZ6;ST8000DM002-ZA134MV9;ST8000DM002-ZA12JLHE;ST8000DM002-ZA131AEE;ST8000DM002-ZA12QCR2
2023-04-01 00:00:00,2023-04-24 00:00:00,1066,6,TOSHIBA MG07ACA14TA-88S0A02AF97G;TOSHIBA MG07ACA14TA-98B0A00EF97G;TOSHIBA MG07ACA14TA-X880A0NBF97G;TOSHIBA MG07ACA14TA-X8G0A0ADF97G;TOSHIBA MG07ACA14TA-88R0A07KF97G;TOSHIBA MG07ACA14TA-88X0A06MF97G
2023-04-01 00:00:00,2023-04-24 00:00:00,1124,6,HGST HUH721212ALN604-2AGMNMKY;HGST HUH721212ALN604-8CH4X57E;HGST HUH721212ALN604-2AGM5VVY;HGST HUH721212ALN604-2AGMLTVY;HGST HUH721212ALE604-5QJBA8HB;HGST HUH721212ALN604-AAHMR0AH
2023-04-01 00:00:00,2023-04-24 00:00:00,1055,6,ST8000NM0055-ZA1814BV;ST8000NM0055-ZA16K94X;ST8000NM0055-ZA16C9RP;ST8000NM0055-ZA18179R;ST8000NM0055-ZA17ZNPM;ST8000NM0055-ZA14Y3LA

