Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-01 00:00:00,2023-04-02 00:00:00,1118,1,HGST HUH721212ALN604-AAG68EWH
2023-04-01 00:00:00,2023-04-02 00:00:00,1106,1,TOSHIBA MG07ACA14TA-70K0A08ZF97G
2023-04-01 00:00:00,2023-04-02 00:00:00,1047,1,ST4000DM000-Z304NT6A
2023-04-01 00:00:00,2023-04-02 00:00:00,1145,1,HGST HUH721212ALE604-8HGXNP2H
2023-04-01 00:00:00,2023-04-02 00:00:00,1055,1,ST8000NM0055-ZA1814BV
2023-04-01 00:00:00,2023-04-02 00:00:00,1099,1,ST12000NM001G-ZTN0AGRW

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-02 00:00:00,2023-04-03 00:00:00,1091,1,ST8000NM0055-ZA155872
2023-04-02 00:00:00,2023-04-03 00:00:00,1102,1,ST12000NM001G-ZLW0GPDR
2023-04-02 00:00:00,2023-04-03 00:00:00,1001,1,ST4000DM000-Z3029ZR2
2023-04-02 00:00:00,2023-04-03 00:00:00,1142,1,ST12000NM001G-ZLW0EFT7
2023-04-02 00:00:00,2023-04-03 00:00:00,1152,1,WDC WUH721414ALE6L4-X1G8LB2L
2023-04-02 00:00:00,2023-04-03 00:00:00,1085,1,ST14000NM001G-ZL2CWPWQ
2023-04-02 00:00:00,2023-04-03 00:00:00,1041,1,ST8000NM0055-ZA171RWG
2023-04-02 00:00:00,2023-04-03 00:00:00,1040,1,ST8000NM0055-ZA16DEVN
2023-04-02 00:00:00,2023-04-03 00:00:00,1119,1,ST12000NM0008-ZL005BTS

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-03 00:00:00,2023-04-04 00:00:00,1103,1,ST12000NM001G-ZTN0AKND
2023-04-03 00:00:00,2023-04-04 00:00:00,1055,1,ST8000NM0055-ZA16K94X
2023-04-03 00:00:00,2023-04-04 00:00:00,1131,1,ST12000NM0008-ZHZ2JJMP
2023-04-03 00:00:00,2023-04-04 00:00:00,1042,1,ST8000NM0055-ZA132DWE

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-04 00:00:00,2023-04-05 00:00:00,1113,3,HGST HUH721212ALN604-8HK2WZKH;HGST HUH721212ALN604-8HK22LZH;HGST HUH721212ALN604-8HK68T1H
2023-04-04 00:00:00,2023-04-05 00:00:00,1066,2,TOSHIBA MG07ACA14TA-88S0A02AF97G;TOSHIBA MG07ACA14TA-98B0A00EF97G
2023-04-04 00:00:00,2023-04-05 00:00:00,1090,1,ST8000NM0055-ZA1819D6
2023-04-04 00:00:00,2023-04-05 00:00:00,1024,1,HGST HMS5C4040BLE640-PL1331LAH27JDH
2023-04-04 00:00:00,2023-04-05 00:00:00,1035,1,ST8000DM002-ZA12PTHD
2023-04-04 00:00:00,2023-04-05 00:00:00,1044,1,ST8000NM0055-ZA15VJHH
2023-04-04 00:00:00,2023-04-05 00:00:00,1042,1,ST8000NM0055-ZA139G0S

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-05 00:00:00,2023-04-06 00:00:00,1032,3,ST8000DM002-ZA136191;ST8000DM002-ZA12QCLA;ST8000DM002-ZA12YMZ6
2023-04-05 00:00:00,2023-04-06 00:00:00,1093,3,ST10000NM0086-ZA21HD3Y;ST10000NM0086-ZA21E1Z8;ST10000NM0086-ZA20ZBAR
2023-04-05 00:00:00,2023-04-06 00:00:00,1044,2,ST8000NM0055-ZA17HPSZ;ST8000NM0055-ZA18BLRJ
2023-04-05 00:00:00,2023-04-06 00:00:00,1010,2,ST4000DM000-Z304KA0X;ST4000DM000-Z304JW59
2023-04-05 00:00:00,2023-04-06 00:00:00,1041,2,ST8000NM0055-ZA16V744;ST8000NM0055-ZA171VP2
2023-04-05 00:00:00,2023-04-06 00:00:00,1014,2,ST4000DM000-Z304LAP7;ST4000DM000-Z304KCMR
2023-04-05 00:00:00,2023-04-06 00:00:00,1120,1,HGST HUH721212ALN604-AAG63XJH
2023-04-05 00:00:00,2023-04-06 00:00:00,1152,1,WDC WUH721414ALE6L4-QGK8T2WT
2023-04-05 00:00:00,2023-04-06 00:00:00,1052,1,HGST HMS5C4040BLE640-PL2331LAHDKYDJ
2023-04-05 00:00:00,2023-04-06 00:00:00,1050,1,HGST HMS5C4040ALE640-PL1331LAHEKX2H

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-06 00:00:00,2023-04-07 00:00:00,1120,1,HGST HUH721212ALN604-AAG8RN9H
2023-04-06 00:00:00,2023-04-07 00:00:00,1064,1,ST12000NM0008-ZHZ4XHK8
2023-04-06 00:00:00,2023-04-07 00:00:00,1053,1,ST8000NM0055-ZA174QL4
2023-04-06 00:00:00,2023-04-07 00:00:00,1093,1,ST10000NM0086-ZA21ADY8

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-07 00:00:00,2023-04-08 00:00:00,1033,2,ST8000DM002-ZA11PX9E;ST8000DM002-ZA11HN58
2023-04-07 00:00:00,2023-04-08 00:00:00,1133,2,TOSHIBA MG07ACA14TA-Z8A0A07RF97G;TOSHIBA MG07ACA14TA-Z8B0A0AFF97G
2023-04-07 00:00:00,2023-04-08 00:00:00,1011,1,ST4000DM000-S301NKL5
2023-04-07 00:00:00,2023-04-08 00:00:00,1066,1,TOSHIBA MG07ACA14TA-X880A0NBF97G
2023-04-07 00:00:00,2023-04-08 00:00:00,1022,1,ST4000DM000-Z305BBHH
2023-04-07 00:00:00,2023-04-08 00:00:00,1087,1,ST16000NM001G-ZL22ZXF0
2023-04-07 00:00:00,2023-04-08 00:00:00,1065,1,ST12000NM0008-ZHZ4Y3NL
2023-04-07 00:00:00,2023-04-08 00:00:00,1032,1,ST8000DM002-ZA134MV9
2023-04-07 00:00:00,2023-04-08 00:00:00,1152,1,WDC WUH721414ALE6L4-QGKAK35T
2023-04-07 00:00:00,2023-04-08 00:00:00,1093,1,ST10000NM0086-ZA214RHN

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-08 00:00:00,2023-04-09 00:00:00,1400,2,TOSHIBA MG07ACA14TA-61A0A154F97G;TOSHIBA MG07ACA14TA-61A0A0RBF97G
2023-04-08 00:00:00,2023-04-09 00:00:00,1124,2,HGST HUH721212ALN604-2AGMNMKY;HGST HUH721212ALN604-8CH4X57E
2023-04-08 00:00:00,2023-04-09 00:00:00,1118,1,HGST HUH721212ALN604-AAG6MH8H
2023-04-08 00:00:00,2023-04-09 00:00:00,1090,1,ST8000NM0055-ZA181AAT
2023-04-08 00:00:00,2023-04-09 00:00:00,1016,1,ST4000DM000-Z304LAN6
2023-04-08 00:00:00,2023-04-09 00:00:00,1135,1,ST12000NM0008-ZHZ4XDL1
2023-04-08 00:00:00,2023-04-09 00:00:00,1069,1,TOSHIBA MG07ACA14TA-10C0A0AVF97G
2023-04-08 00:00:00,2023-04-09 00:00:00,1055,1,ST8000NM0055-ZA16C9RP
2023-04-08 00:00:00,2023-04-09 00:00:00,1132,1,ST12000NM0008-ZHZ3J52P
2023-04-08 00:00:00,2023-04-09 00:00:00,1131,1,ST12000NM0008-ZHZ43K8N

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-09 00:00:00,2023-04-10 00:00:00,1080,1,WDC WUH721414ALE6L4-9LG3U60A
2023-04-09 00:00:00,2023-04-10 00:00:00,1118,1,HGST HUH721212ALN604-AAG6LEMH
2023-04-09 00:00:00,2023-04-10 00:00:00,1128,1,ST12000NM0007-ZJV3BXCY
2023-04-09 00:00:00,2023-04-10 00:00:00,1135,1,ST12000NM0008-ZHZ50RD4
2023-04-09 00:00:00,2023-04-10 00:00:00,1146,1,ST14000NM001G-ZLW17SGH
2023-04-09 00:00:00,2023-04-10 00:00:00,3003,1,WDC WUH721816ALE6L4-2PGU12RT
2023-04-09 00:00:00,2023-04-10 00:00:00,1032,1,ST8000DM002-ZA12JLHE
2023-04-09 00:00:00,2023-04-10 00:00:00,1120,1,HGST HUH721212ALN604-AAG765VH
2023-04-09 00:00:00,2023-04-10 00:00:00,1053,1,ST8000NM0055-ZA18GQ69
2023-04-09 00:00:00,2023-04-10 00:00:00,1009,1,ST4000DM000-S301JQ43

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-10 00:00:00,2023-04-11 00:00:00,1090,1,TOSHIBA MQ01ABF050-66HLS2P3S
2023-04-10 00:00:00,2023-04-11 00:00:00,1048,1,HGST HMS5C4040ALE640-PL1331LAGA0T8H
2023-04-10 00:00:00,2023-04-11 00:00:00,1124,1,HGST HUH721212ALN604-2AGM5VVY
2023-04-10 00:00:00,2023-04-11 00:00:00,1113,1,HGST HUH721212ALN604-8HK1KYAH
2023-04-10 00:00:00,2023-04-11 00:00:00,1035,1,ST8000DM002-ZA12EH4Y
2023-04-10 00:00:00,2023-04-11 00:00:00,1001,1,ST4000DM000-Z302ALE1
2023-04-10 00:00:00,2023-04-11 00:00:00,1132,1,ST12000NM0008-ZHZ1SPKY
2023-04-10 00:00:00,2023-04-11 00:00:00,1098,1,ST12000NM0008-ZL00567C
2023-04-10 00:00:00,2023-04-11 00:00:00,2000,1,TOSHIBA MG08ACA16TE-71C0A068FVGG
2023-04-10 00:00:00,2023-04-11 00:00:00,1043,1,ST8000NM0055-ZA1551YJ

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-11 00:00:00,2023-04-12 00:00:00,1090,3,ST8000NM0055-ZA180AYP;ST8000NM0055-ZA1817P7;ST8000NM0055-ZA16LXLR
2023-04-11 00:00:00,2023-04-12 00:00:00,1040,3,ST8000NM0055-ZA14C9LL;ST8000NM0055-ZA14EBJF;ST8000NM0055-ZA175P5X
2023-04-11 00:00:00,2023-04-12 00:00:00,1093,2,ST10000NM0086-ZA21E7P8;ST10000NM0086-ZA21A5HF
2023-04-11 00:00:00,2023-04-12 00:00:00,1092,2,ST8000NM0055-ZA189X7V;ST8000NM0055-ZA18BTCZ
2023-04-11 00:00:00,2023-04-12 00:00:00,1036,2,TOSHIBA HDWF180-Y76GK0MAFZ1D;ST8000DM002-ZA13M2L3
2023-04-11 00:00:00,2023-04-12 00:00:00,1066,1,TOSHIBA MG07ACA14TA-X8G0A0ADF97G
2023-04-11 00:00:00,2023-04-12 00:00:00,1022,1,ST4000DM000-Z305D5X6
2023-04-11 00:00:00,2023-04-12 00:00:00,1010,1,ST4000DM000-Z304KR2Z
2023-04-11 00:00:00,2023-04-12 00:00:00,1032,1,ST8000DM002-ZA131AEE
2023-04-11 00:00:00,2023-04-12 00:00:00,1142,1,ST12000NM001G-ZLW0G7NZ

Window Start,Window End,Vault ID,Failures,Disk Details
2023-04-12 00:00:00,2023-04-13 00:00:00,1113,3,HGST HUH721212ALN604-8HK28HBH;HGST HUH721212ALN604-8HK762XH;HGST HUH721212ALN604-8HK20G0H
2023-04-12 00:00:00,2023-04-13 00:00:00,1096,2,HGST HUH728080ALE600-VKH8WTSX;HGST HUH728080ALE600-VKH9STYX
2023-04-12 00:00:00,2023-04-13 00:00:00,1090,1,WDC WD5000LPVX-WD-WXC1E648JXS3
2023-04-12 00:00:00,2023-04-13 00:00:00,1039,1,ST8000NM0055-ZA16DQ6Y
2023-04-12 00:00:00,2023-04-13 00:00:00,1105,1,HGST HUH721212ALE604-8HGUBD9Y
